PREFIXO: ;D2-076
NOME DO POSTO: ;CAPITUVA
MUNICÍPIO: ;GUARATINGUETA
CURSO D'ÁGUA: ;GUARATINGUETA,RIB
LATITUDE: ;22°45'00"
LONGITUDE: ;45°14'00"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  03/1959;  0,0;  0,0;  0,0;  2,8; 13,6; 25,6;  0,0;  3,3;  6,3;  2,1;  0,0;  5,0;  0,0;  5,1; 25,2;  0,0;  0,0;  0,0; 27,4; 13,2;  2,7;  2,5;  2,2; 26,1;  5,9;  5,6;  0,4;  0,2;0,1;0,0;49,1;49,1;224,4
  04/1959; 18,7;  0,7; 29,5;  1,2;  2,2;  7,5;  0,0;  0,0;  0,0;  0,0;  4,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 29,5;  0,0;  0,0;  0,0;0,0;0,0;---;29,5;93,6
  05/1959;  0,0;  0,0;  0,0;  1,1;  2,5;  0,0;  2,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,9;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  5,1;  9,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;1,2;9,2;22,5
  06/1959;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,6;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;1,6;1,6
  07/1959;  0,0;  0,0;  0,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;0,5;0,5
  08/1959;  0,0;  0,0;  0,0;  0,0;  0,2;  0,0;  0,0;  0,8;  2,7;  0,2;  0,0;  0,0; 14,1;  0,0;  7,6;  0,8;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;14,1;26,4
  09/1959;  0,0;  0,0;  0,5;  0,0;  2,2;  7,9;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,2;  0,0;  0,0; 12,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  3,9;  0,1;  0,0;0,0;0,0;---;12,5;27,3
  10/1959;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  6,4;  0,2;  1,5;  2,3;  1,3;  1,3; 10,0; 16,7; 58,0;  0,0;  5,3;  7,9;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;58,0;110,9
  11/1959; 38,3;  0,0;  0,0; 12,2;  1,3;  6,0;  8,9;  5,9; 75,5;  2,6;  0,0;  0,0; 18,2;  0,0;  0,0;  5,7;  0,0;  0,0;  8,8;  0,9;  5,1; 12,1;  1,6;  0,0;  0,0;  0,0; 28,2; 17,3;4,3;0,0;---;75,5;252,9
  12/1959;  0,0;  0,0;  0,0;  0,0;  7,2;  5,5;  0,0;  3,3;  0,0;  5,2;  2,4;  8,6; 27,7;  0,4;  0,0;  0,0; 14,5;  1,5; 11,6; 16,4;  0,1;  8,7; 12,3; 14,2;  9,6;  1,2;  0,0;  0,0;16,3;0,0;0,0;27,7;166,7
