PREFIXO: ;G5-002
NOME DO POSTO: ;MORRO REDONDO
MUNICÍPIO: ;CANANEIA
CURSO D'ÁGUA: ;IPIRANGUINHA,R
LATITUDE: ;25°04'00"
LONGITUDE: ;48°08'00"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  02/1971; 20,0;  5,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 17,0; 12,0;  2,0;  0,0;  0,0;  0,0; 15,4;  2,7;  0,0;  0,0;  3,3; 20,9;  1,6; 35,0;  0,0; 38,0;  5,0;  7,1; 20,3;---;---;---;38,0;205,3
  03/1971; 12,4; 12,2; 27,6; 38,1; 47,5; 10,5; 13,0;  0,0; 17,0;  2,0; 40,0; 14,6;  0,0;  0,0; 10,0; 15,5;  0,0;  0,0;  0,0; 10,0; 17,0;  1,4; 36,1; 17,1; 68,1;  9,4;  1,5; 18,4;4,2;0,0;0,0;68,1;443,6
  04/1971;  0,0;  0,0;  0,0;  8,0;  1,3;  0,0;  1,0;  0,0;  0,3; 45,0;  1,6;  8,1;  0,0;  6,0;  0,0;  3,7;  6,3;  0,0; 15,4;  9,0;  0,0;  0,0;  2,8;  1,1;  0,0;  0,0;  0,0;  0,0;1,0;0,0;---;45,0;110,6
  05/1971;  0,0;  0,0;  0,2; 50,0; 44,7;  4,1;  0,0;  0,0;  6,5;  2,0;  0,0;  0,0;  0,0;  0,0;  2,0;  0,0;  1,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,0; 20,9; 20,0;  2,3;  1,7;0,6;1,2;0,0;50,0;158,2
  06/1971;  0,0;  0,0;  0,0;  7,5;  5,0;  3,6;  1,0;  2,8; 11,7;  0,0;  1,0; 10,0;  0,0;  0,0;  1,0;  0,0;  0,0; 41,3; 13,6;  0,0;  0,0;  0,0;  2,1;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;41,3;100,6
  07/1971;  0,0; 11,3;  3,9; 10,2;  7,1;  0,0;  0,0;  0,0;  0,0;  2,0;  0,0;  6,0;  0,0;  0,0;  2,5;  1,5;  2,0;  0,0;  0,0;  1,0;  2,0;  0,0;  0,0;  0,0;  0,0;  0,0;  5,0;  2,0;5,0;1,3;0,0;11,3;62,8
  08/1971;  1,7;  0,0;  0,0;  0,0;  0,0;  1,1;  8,0;  6,0;  0,0;  6,4;  2,5;  8,0;  0,0;  7,0; 11,0;  0,0;  9,0; 11,0;  0,0;  0,0;  0,0;  0,0;  3,0;  0,0;  3,4;  2,7;  1,2;  3,2;7,1;14,2;0,0;14,2;106,5
  09/1971; 26,3; 10,0; 10,0;  7,3;  0,0;  7,0;  3,9;  3,1;  2,0;  1,0;  3,2; 56,3; 20,0;  0,1;  0,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  6,7; 32,5;  6,6;  4,0;  3,0;  0,0;0,0;0,0;---;56,3;203,1
  10/1971;  7,6;  0,1;  0,0;  1,6; 13,0;  0,7; 18,6;  0,2;  0,0;  0,0; 30,0; 20,4;  3,0;  0,0;  0,0;  0,6;  0,6;  2,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 18,0;  6,9;  2,1;  0,0;1,7;1,0;0,0;30,0;128,4
  11/1971;  1,0;  1,2;  1,2;  3,8; 11,0;  0,0;  0,0;  0,3;  0,0;  0,0;  1,6;  0,0;  0,0;  2,0;  1,6;  0,0;  0,0;  0,0;  2,0;  4,0;  2,0;  1,1;  3,3;  4,3;  5,3;  0,0;  0,8; 30,0;13,0;0,0;---;30,0;89,5
