PREFIXO: ;B6-003
NOME DO POSTO: ;CASTORES
MUNICÍPIO: ;ONDA VERDE
CURSO D'ÁGUA: ;GOTINHA,COR DA/CONTINHA,COR DA
LATITUDE: ;20°37'47"
LONGITUDE: ;49°18'27"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  02/1939; 18,0;  0,0;  0,2;  4,5;  0,0;  0,0;  0,0;  0,2; 10,2;  9,5; 11,1;  0,0;  0,0;  1,8;  0,0;  0,0;  0,0;  0,0;  0,0;  4,2;  0,5;  1,9;  0,0;  0,0;  0,0;  0,0; 26,4;  0,0;---;---;---;26,4;88,5
  03/1939;  4,0;  7,7;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 16,0; 16,2;  5,0;  0,9;  1,8;  5,5;  7,0; 14,5;  0,7;  0,0;  0,0;0,1;4,6;0,1;16,2;84,1
  04/1939;  0,0;  0,0;  0,0;  0,0; 14,6;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  2,6; 13,6;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 21,5;  3,2;  0,0;0,0;0,0;---;21,5;55,5
  05/1939;  0,0;  0,0;  0,0;  0,0;  5,8;  0,0;  0,0; 16,5;  0,3;  0,0;  2,0; 27,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;6,3;76,7;6,8;76,7;141,9
  06/1939;  0,0;  0,0;  1,2;  1,0;  0,0;  0,0;  0,0;  0,0;  0,0; 12,4;  0,3;  0,0;  0,0;  0,0;  5,6;  2,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 28,0;5,0;0,0;---;28,0;55,5
  07/1939;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  5,7;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  3,5;  0,0; 17,5;  0,0;  0,0;  7,8;0,0;0,0;0,0;17,5;34,5
  08/1939;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;0,0;0,0
  09/1939;  0,0;  0,0;  7,7;  0,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 41,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 12,5;0,0;0,0;---;41,3;61,7
  10/1939;  0,7; 18,0;  0,0;  5,4; 23,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  7,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,4; 14,0;  0,0;  4,0;  0,0;  0,0;0,0;0,0;15,0;23,4;87,9
  11/1939;  0,0; 16,5;  0,0;  0,0;  0,8;  0,0;  0,0; 21,0; 18,0;  9,7;  0,0;  0,0;  0,0; 80,6; 11,7;  4,5; 36,2; 24,2;  3,9;  0,0;  0,0;  4,6; 63,0; 12,6;  0,0; 17,5; 14,8;  0,0;0,0;0,0;---;80,6;339,6
  12/1939; 31,3;  0,1;  8,0;  2,8;  0,0;  0,0;  1,7;  0,0;  2,8; 28,1;  0,0; 24,3;  0,0;  0,0;  0,2;  0,0; 23,0; 25,5; 43,5;  7,2;  3,2; 38,5;  3,0;  0,0;  3,6;  0,8;  0,1; 17,0;0,0;0,0;6,1;43,5;270,8
  01/1940; 42,4;  9,3;  0,0;  0,0;  3,1;  0,0;  2,3;  6,9; 30,7; 37,8; 46,3;  3,8;  0,0;  0,0;  0,0;  0,0;  5,4;  0,0; 34,5;  0,3;  0,0;  4,5;  0,0;  1,5;  0,2;  0,0;  0,0;  0,0;0,0;9,0;2,3;46,3;240,3
  02/1940;  3,0; 16,5;  2,2;  7,8;  1,5;  0,2;  0,0;  0,0;  0,0;  0,0;  0,0; 12,2;  0,0; 45,0;  0,8;  0,0;  0,0;  5,8; 30,5;  4,2;  0,0;  0,0;  0,0;  0,7;  0,0;  0,0;  0,0;  0,0;0,0;---;---;45,0;130,4
